message;severity;node;stamp;topics;location
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.377838326";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878725";"2";"/pure_pursuit";"1536981838.344515139";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.344494669";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.311249080";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.311217802";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878725";"2";"/pure_pursuit";"1536981838.344515139";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.344494669";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.311249080";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.311217802";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.277830339";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.277807014";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.277830339";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.277807014";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.244509884";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.244485373";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.244509884";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
"lookahead distance: 6.000000";"2";"/pure_pursuit";"1536981838.244485373";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcLookaheadDistance:80"
"kappa :-0.0878864";"2";"/pure_pursuit";"1536981838.211171470";"/rosout,/twist_cmd";"/home/udacity/Git/carnd_cap_autogradr/submissions/1451056/ros/src/waypoint_follower/src/pure_pursuit_core.cpp:PurePursuit::calcCurvature:100"
